word,to_drop,vulgar_gen,violence,insult_gen,insult_polit,insult_sport,disgust,hate_feelings,homophobia,ethrel_discr,sexism,bodyshame,disability
culo,,1,,,,,,,,,,,
culi,,1,,,,,,,,,,,
culone,,1,,,,,,,,,,,
culona,,,,,,,,,,,,1,
culoni,,1,,,,,,,,,,,
cunno,,1,,1,,,,,,,,,
cunnu,,1,,1,,,,,,,,,
dabbenaggine,1,,,,,,,,,,,,
damerino,1,,,,,,,,,,,,
damerin*,1,,,,,,,,,,,,
dannato,1,,,,,,,,,,,,
dannat*,1,,,,,,,,,,,,
debosciato,1,,,,,,,,,,,,
debosciat*,1,,,,,,,,,,,,
deficiente,1,,,,,,,,,,,,
deficienza,1,,,,,,,,,,,,
deficien*,,,,1,,,,,,,,,
deficit mentale,1,,,,,,,,,,,,
deficit_mentale,,,,,,,,,,,,,1
deforme,1,,,,,,,,,,,,
deform*,,,,,,,,,,,,,1
delatore,1,,,,,,,,,,,,
delat*,1,,,,,,,,,,,,
delinquente,1,,,,,,,,,,,,
delinquenza,1,,,,,,,,,,,,
delinquenziale,1,,,,,,,,,,,,
delinquen*,,,,1,,,,,,,,,
delirante,1,,,,,,,,,,,,
delirio di onnipotenza,1,,,,,,,,,,,,
demagogia,1,,,,,,,,,,,,
demagogico,1,,,,,,,,,,,,
demagogismo,1,,,,,,,,,,,,
demagogo,1,,,,,,,,,,,,
demagog*,1,,,,,,,,,,,,
demenza,,,,,,,,,,,,,1
demenziale,1,,,,,,,,,,,,
dement*,,,,,,,,,,,,,1
democristiani,1,,,,,,,,,,,,
democristian*,1,,,,,,,,,,,,
denigratore,1,,,,,,,,,,,,
denigrazione,1,,,,,,,,,,,,
depravato,1,,,,,,,,,,,,
depravat*,,,,1,,,,,,,,,
deprecabile,1,,,,,,,,,,,,
deprecabil*,1,,,,,,,,,,,,
depredatore,1,,,,,,,,,,,,
depredatori,1,,,,,,,,,,,,
depredatrice,1,,,,,,,,,,,,
depredatrici,1,,,,,,,,,,,,
deretano,,1,,,,,,,,,,,
derubare,1,,,,,,,,,,,,
derubato,1,,,,,,,,,,,,
detesto,,,,,,,,1,,,,,
devastatore,1,,,,,,,,,,,,
deviato,1,,,,,,,,,,,,
deviati,1,,,,,,,,,,,,
didietro,,1,,,,,,,,,,,
diffamatore,1,,,,,,,,,,,,
diffamatorio,1,,,,,,,,,,,,
diffamazione,1,,,,,,,,,,,,
diger*,,,,,,,1,,,,,,
digestiv*,,,,,,,1,,,,,,
diilettantesco,1,,,,,,,,,,,,
dilapidatore,1,,,,,,,,,,,,
dilapidator*,1,,,,,,,,,,,,
dilapidatric*,1,,,,,,,,,,,,
dildo,,1,,,,,,,,,,,
dileggiare,1,,,,,,,,,,,,
dileggiatore,1,,,,,,,,,,,,
dilettante,1,,,,,,,,,,,,
dilettanti,1,,,,,,,,,,,,
dilettantismo,1,,,,,,,,,,,,
dilettantistico,1,,,,,,,,,,,,
dilettant*,1,,,,,,,,,,,,
dipendenza sessuale,1,,,,,,,,,,,,
dipendenza_sessuale,1,,,,,,,,,,,,
disabile,1,,,,,,,,,,,,
disabili,1,,,,,,,,,,,,
disabilità ,1,,,,,,,,,,,,
disabil*,,,,,,,,,,,,,1
disagiato,1,,,,,,,,,,,,
disagiat*,,,,1,,,,,,,,,
disgraziato,1,,,,,,,,,,,,
disgraziat*,,,,1,,,,,,,,,
disgusto,1,,,,,,,,,,,,
disgust*,,,,,,,1,,,,,,
disprezzo,,,,,,,,1,,,,,
dissennato,1,,,,,,,,,,,,
dissimulatore,1,,,,,,,,,,,,
dissimulazione,1,,,,,,,,,,,,
distrugg*,,,1,,,,,,,,,,
disumano,1,,,,,,,,,,,,
disuman*,1,,,,,,,,,,,,
diversamente abile,1,,,,,,,,,,,,
diversamente abili,1,,,,,,,,,,,,
diversamente_abil*,,,,,,,,,,,,,1
divetta,1,,,,,,,,,,,,
divett*,1,,,,,,,,,,,,
donna della strada,1,,,,,,,,,,,,
donna di facili costumi,1,,,,,,,,,,,,
donna di malaffare,1,,,,,,,,,,,,
donna di strada,1,,,,,,,,,,,,
donna di vita,1,,,,,,,,,,,,
donna sciatta,1,,,,,,,,,,,,
donnaccia,1,,,,,,,,,,,,
donnacc*,,,,,,,,,,,1,,
donnina,1,,,,,,,,,,,,
drag queen,1,,,,,,,,,,,,
drag show,1,,,,,,,,,,,,
drag,,,,,,,,,1,,,,
drogato,1,,,,,,,,,,,,
drogat*,,,,,,,,,,,,,1
ebete,1,,,,,,,,,,,,
ebet*,,,,1,,,,,,,,,
ebreo,1,,,,,,,,,,,,
ebre*,,,,,,,,,,1,,,
egocentrico,1,,,,,,,,,,,,
egocentric*,1,,,,,,,,,,,,
egoismo,1,,,,,,,,,,,,
egoista,1,,,,,,,,,,,,
egoistico,1,,,,,,,,,,,,
egois*,1,,,,,,,,,,,,
egotismo,1,,,,,,,,,,,,
empio,1,,,,,,,,,,,,
empi*,1,,,,,,,,,,,,
eversore,1,,,,,,,,,,,,
falsi,1,,,,,,,,,,,,
falsificato,1,,,,,,,,,,,,
falsificazione,1,,,,,,,,,,,,
falsità ,1,,,,,,,,,,,,
falsari*,,,,1,,,,,,,,,
falso,1,,,,,,,,,,,,
falso,1,,,,,,,,,,,,
fancul*,,1,,1,,,,,,,,,
fandonia,1,,,,,,,,,,,,
fandoni*,1,,,,,,,,,,,,
fanfaluca,1,,,,,,,,,,,,
fanfarone,1,,,,,,,,,,,,
fanfaron*,1,,,,,,,,,,,,
fango,,,,1,,,,,,,,,
fannullaggine,1,,,,,,,,,,,,
fannullone,1,,,,,,,,,,,,
fannulloneria,1,,,,,,,,,,,,
fannullon*,,,,1,,,,,,,,,
farabutto,1,,,,,,,,,,,,
farabutt*,,,,1,,,,,,,,,
fariseo,1,,,,,,,,,,,,
farise*,,,,1,,,,,,,,,
fasci,,,,,1,,,,,,,,
fascio,,,,,1,,,,,,,,
fascisti,1,,,,,,,,,,,,
fascistoid*,,,,,1,,,,,,,,
fascist*,1,,,,,,,,,,,,
fasullo,1,,,,,,,,,,,,
fasull*,1,,,,,,,,,,,,
fattona,1,,,,,,,,,,,,
fattone,1,,,,,,,,,,,,
fattoni,1,,,,,,,,,,,,
fatton*,,,,1,,,,,,,,,
fattore,1,,,,,,,,,,,,
fava,,1,,,,,,,,,,,
fave,,1,,,,,,,,,,,
feccia,,,,1,,,,,,,,,
fellatio,,1,,,,,,,,,,,
fellone,1,,,,,,,,,,,,
fellonia,1,,,,,,,,,,,,
fellon*,1,,,,,,,,,,,,
femminuccia,1,,,,,,,,,,,,
femminucc*,,,,,,,,,,,1,,
ferrovecchio,1,,,,,,,,,,,,
fessacchiotto,1,,,,,,,,,,,,
fessacchiott*,,,,1,,,,,,,,,
fessaggine,1,,,,,,,,,,,,
fessaggin*,1,,,,,,,,,,,,
fesseria,1,,,,,,,,,,,,
fesseri*,1,,,,,,,,,,,,
fesso,,,,1,,,,,,,,,
fessi,,,,1,,,,,,,,,
fessa,,,,,,,,,,,1,,
festa,1,,,,,,,,,,,,
fetente,1,,,,,,,,,,,,
fetent*,,,,1,,,,,,,,,
feticismo,1,,,,,,,,,,,,
feticis*,1,,,,,,,,,,,,
fetido,1,,,,,,,,,,,,
fetidume,1,,,,,,,,,,,,
fetid*,,,,,,,1,,,,,,
fetore,,,,,,,1,,,,,,
fica,,1,,,,,,,,,,,
fiche,,1,,,,,,,,,,,
fifone,1,,,,,,,,,,,,
figa,,1,,,,,,,,,,,
fighe,,1,,,,,,,,,,,
fighett*,,,,1,,,,,,,,,
figuraccia,1,,,,,,,,,,,,
figuro,1,,,,,,,,,,,,
finocchi,1,,,,,,,,,,,,
finocchietto,1,,,,,,,,,,,,
finocchio,1,,,,,,,,,,,,
finocc*,,,,,,,,,1,,,,
finto,1,,,,,,,,,,,,
fogna,1,,,,,,,,,,,,
fognatura,1,,,,,,,,,,,,
fognature,1,,,,,,,,,,,,
fogne,1,,,,,,,,,,,,
fogn*,,,,1,,,,,,,,,
fondo schiena,1,,,,,,,,,,,,
fondo_schiena,1,,,,,,,,,,,,
fondoschiena,1,,,,,,,,,,,,
forcaiolo,1,,,,,,,,,,,,
forcaiol*,1,,,,,,,,,,,,
fornicatrice,1,,,,,,,,,,,,
fornicatric*,1,,,,,,,,,,,,
fornicator*,1,,,,,,,,,,,,
fottere,1,,,,,,,,,,,,
fottio,1,,,,,,,,,,,,
fottiti,1,,,,,,,,,,,,
fotto,1,,,,,,,,,,,,
fottuto,1,,,,,,,,,,,,
fott*,,1,,,,,,,,,,,
fregna,,1,,,,,,,,,,,
fregnon*,,,,1,,,,,,,,,
frenastenia,1,,,,,,,,,,,,
frenetico,1,,,,,,,,,,,,
frescone,1,,,,,,,,,,,,
frescon*,,,,1,,,,,,,,,
frignone,1,,,,,,,,,,,,
frign*,,,,1,,,,,,,,,
frocio,1,,,,,,,,,,,,
frocione,1,,,,,,,,,,,,
froci*,,,,,,,,,1,,,,
frodare,1,,,,,,,,,,,,
frodatore,1,,,,,,,,,,,,
frodatrice,1,,,,,,,,,,,,
frotta,1,,,,,,,,,,,,
furbacchione,1,,,,,,,,,,,,
furberia,1,,,,,,,,,,,,
furbizia,1,,,,,,,,,,,,
furbone,1,,,,,,,,,,,,
furfantaggine,1,,,,,,,,,,,,
furfante,1,,,,,,,,,,,,
furfanteria,1,,,,,,,,,,,,
furfant*,,,,1,,,,,,,,,
furti,1,,,,,,,,,,,,
furto,1,,,,,,,,,,,,
gabinetti pubblici,1,,,,,,,,,,,,
gabinetto,1,,,,,,,,,,,,
gaglioffaggine,1,,,,,,,,,,,,
gagliofferia,1,,,,,,,,,,,,
gaglioffo,1,,,,,,,,,,,,
gallina,1,,,,,,,,,,,,
gallin*,,,,,,,,,,,1,,
galoppino,1,,,,,,,,,,,,
galoppin*,1,,,,,,,,,,,,
gangster,,,,1,,,,,,,,,
gay,,,,,,,,,1,,,,
gentaglia,,,,1,,,,,,,,,
